1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.1,2.11,2.12,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.1,4.1.1,4.1.2,4.2.1,4.2.2,4.3.1,4.3.2,4.4.1,4.4.2,4.5.1,4.5.2,4.6.1,4.6.2,4.7.1,4.7.2,4.8.1,4.8.2,4.9.1,4.9.2,4.10.1,4.10.2,4.11.1,4.11.2,4.12.1,4.12.2,4.13.1,4.13.2,4.14.1,4.14.2,4.15.1,4.15.2,4.16.1,4.16.2,4.17.1,4.17.2,4.18.1,4.18.2,4.19.1,4.19.2,4.20.1,4.20.2,4.21.1,4.21.2,4.22.1,4.22.2,4.23.1,4.23.2,4.24.1,4.24.2,4.25.1,4.25.2,4.26.1,4.26.2,4.27.1,4.27.2,4.28.1,4.28.2,4.29.1,4.29.2,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.1,5.11,5.12,5.13,5.14,5.15,5.16,5.17,5.18,5.19,5.2
1,2002,1,2,2,2,6,6,4,5,7,7,7,5,4,4,6,6,6,7,2,2,4,1,3,1,1,1,3,3,1,2,0,1,1,2,0,1,0,1,0,1,1,2,0,1,1,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,7,2,6,6,1,7,1,4,7,7,2,7,7,1,7,7,2,2,2,6
1,2004,2,1,2,1,1,2,5,6,7,6,7,5,4,5,3,3,6,3,3,1,2,3,2,3,3,1,2,2,1,2,0,,0,,0,,0,,1,2,1,2,1,2,1,3,1,3,1,1,0,,0,,0,,1,2,0,,1,3,1,3,0,,1,3,1,1,0,,0,,0,,1,2,1,2,0,,0,,0,,2,7,3,3,6,3,4,4,2,1,7,2,5,4,4,3,5,4,7,2
1,2002,1,2,2,2,2,1,4,1,7,7,7,5,5,1,7,4,3,4,3,3,2,2,1,3,3,1,3,3,1,2,0,,1,1,0,,0,,1,3,0,,0,,1,4,1,4,1,2,0,,0,,0,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,4,1,3,1,4,1,5,4,1,7,1,4,1,7,4,7,4,4,2
2,2003,1,2,2,2,5,4,7,7,7,7,7,7,7,7,7,7,7,7,1,2,4,1,4,1,1,3,3,4,1,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,2,0,1,1,2,0,1,1,2,1,2,0,1,0,1,1,2,0,1,0,1,0,1,0,1,1,2,0,1,0,1,0,1,0,1,6,2,6,6,3,6,3,6,4,5,3,6,,,,,,,,
1,2002,2,2,2,2,5,5,5,7,7,7,7,7,7,7,7,7,7,7,2,1,4,1,4,1,1,1,4,4,1,3,0,4,1,3,0,3,1,4,0,2,0,3,1,2,1,4,1,4,1,4,1,4,1,4,1,4,1,3,1,4,0,2,0,2,0,4,0,4,1,4,1,4,0,3,0,3,1,4,0,4,0,4,0,4,0,4,7,1,7,7,1,7,1,7,4,4,4,4,4,4,7,7,1,1,1,7
2,2003,1,2,2,2,3,3,6,6,7,7,4,3,2,6,4,3,6,6,2,2,3,2,3,1,1,1,3,3,1,1,0,,1,1,0,,0,,0,,0,,1,2,1,2,0,,1,1,0,,0,,0,,0,,1,1,1,2,1,2,0,,1,3,0,,0,,0,,0,,,,1,2,0,,0,,0,,4,4,5,5,2,5,2,5,4,3,3,3,5,3,5,3,4,1,2,5
2,2003,2,2,2,2,3,4,4,4,7,7,6,7,7,7,7,7,6,7,1,1,4,1,3,1,1,1,4,4,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,5,1,7,4,4,5,1,5,6,6,4,4,4,,7,4,4,4,4,4
1,2003,2,2,2,2,6,5,6,6,6,6,3,4,4,6,1,6,3,3,3,1,3,1,3,3,3,1,1,3,1,1,0,1,1,1,0,,0,,0,,0,,1,,1,,0,,0,,0,,0,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,3,4,3,,,,,,,,,,3,1,7,2,5,1,3,3
2,2002,1,2,2,2,4,5,3,5,5,6,4,3,1,1,1,1,1,1,2,3,3,3,4,3,2,1,4,4,1,1,0,,1,2,1,2,0,,0,,0,,1,4,0,,0,,1,2,0,,0,,1,4,1,4,1,4,1,1,1,4,0,,1,4,0,,0,,0,,0,,1,2,0,,0,,1,2,0,,1,5,5,5,5,3,2,1,4,3,7,5,7,4,1,4,2,1,7,6
1,2003,1,2,2,2,5,5,4,4,4,4,4,4,4,4,4,5,6,7,2,2,3,2,2,2,2,2,3,3,0,2,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,3,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,2002,1,2,2,2,5,4,7,7,7,7,7,7,7,7,7,7,4,7,2,2,3,2,2,2,2,2,3,3,1,2,0,1,1,2,0,1,0,1,0,1,0,1,1,2,1,2,0,1,1,2,1,3,0,1,1,3,1,3,1,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,0,1,0,1,0,1,0,1,5,2,6,6,2,7,1,6,4,4,4,4,5,2,4,3,3,5,3,4
2,2002,,2,,2,4,5,4,4,5,5,4,5,5,4,4,4,3,3,2,2,2,2,1,3,3,2,3,3,1,1,0,1,1,1,0,1,0,1,,,1,3,1,3,1,3,0,1,1,3,0,1,0,1,1,2,1,2,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,0,1,0,1,0,1,2,4,4,4,5,5,2,4,6,4,22,5,4,6,6,5,5,5,4,4
1,2003,1,2,2,2,5,5,6,5,7,7,7,5,4,4,4,4,5,5,1,2,4,1,2,2,2,1,4,4,1,1,0,2,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,2,0,1,0,1,0,1,0,1,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,4,2,7,7,2,6,3,6,6,6,1,7,6,2,7,7,2,1,2,7
1,2002,2,2,2,2,5,5,4,5,5,6,5,7,7,6,7,5,5,7,1,1,4,1,3,1,1,1,3,3,0,,0,,1,2,1,2,1,2,1,3,1,2,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,0,,0,,7,2,6,6,1,6,1,7,6,7,1,7,7,3,7,7,2,3,2,6
2,2003,2,2,2,2,4,5,6,4,7,7,7,7,6,6,7,7,6,7,2,2,3,1,2,2,2,1,4,4,0,,0,,0,,0,,0,,0,,0,,1,2,1,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,2,0,3,0,,0,,4,3,5,4,1,6,1,5,4,5,2,6,6,4,7,7,2,2,1,7
2,2003,1,2,2,2,6,5,4,4,4,4,4,4,4,4,4,4,5,5,2,3,3,2,2,3,3,2,3,3,0,1,0,1,0,1,0,1,0,1,1,2,0,1,1,2,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,2,1,2,0,2,1,2,0,1,0,1,0,1,0,1,0,1,5,3,5,3,3,3,2,3,5,5,5,5,5,3,6,6,5,5,3,5
1,2002,2,2,2,2,2,3,7,6,5,6,6,7,7,1,1,7,7,7,1,1,3,1,3,1,1,1,4,4,1,4,1,2,1,3,1,4,1,3,0,,1,1,0,,0,,0,,0,,0,,0,,1,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,2,7,7,1,7,1,5,7,7,1,7,1,1,7,7,1,1,1,7
2,2002,1,2,2,2,5,5,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,3,3,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,5,3,5,4,3,5,4,4,4,4,4,4,5,3,5,5,4,4,4,4
2,2002,1,2,2,2,2,4,5,4,4,4,4,4,4,4,4,4,4,4,2,1,3,1,3,1,1,1,4,4,1,1,1,4,1,1,1,1,1,4,1,4,0,1,1,1,1,1,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,3,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,7,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,2002,1,2,2,2,6,6,7,7,7,7,7,7,6,7,7,7,7,7,1,1,4,1,3,1,1,2,4,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,4,0,1,0,1,0,1,0,1,0,1,1,2,1,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,7,1,6,7,1,7,7,7,7,7,1,7,7,1,7,7,3,1,1,7